uri,name,type,n_variable,n_words,n_words_unique,n_characters,avg_char_per_word,n_loop,n_ifthen,arg_name,arg_type,arg_value,line,docs,list_functions,n_functions
./dsa2/core_run.py:get_global_pars,get_global_pars,function,9,26,23,303,11.65,0,0,['config_uri'],[None],"['""""']",38,[],"['log', 'print', 'load_function_uri', 'model_dict_fun']",4
./dsa2/core_run.py:get_config_path,get_config_path,function,11,45,30,412,9.16,0,1,['config'],[None],"[""''""]",53,[],"['print', 'get_global_pars', 'len', 'config.split']",4
./dsa2/core_run.py:data_profile2,data_profile2,function,12,22,22,264,12.0,0,0,['config'],[None],"[""''""]",79,"['    """"""\n', '    :param config:\n', '    :return:\n', '    """"""\n']","['get_config_path', 'get_global_pars', 'log', 'run_profile']",4
./dsa2/core_run.py:data_profile,data_profile,function,13,29,29,337,11.62,0,0,['config'],[None],"[""''""]",96,[],"['get_config_path', 'get_global_pars', 'log', 'run_profile', 'data_profile']",5
./dsa2/core_run.py:preprocess,preprocess,function,13,28,27,306,10.93,0,0,"['config', 'nsample']","[None, None]","[""''"", 'None']",105,"['    """"""\n', '\n', '    :param config:\n', '    :param nsample:\n', '    :return:\n', '    """"""\n']","['get_config_path', 'get_global_pars', 'log', 'run_preprocess.run_preprocess']",4
./dsa2/core_run.py:train,train,function,13,27,26,270,10.0,0,0,"['config', 'nsample']","[None, None]","[""''"", 'None']",128,"['    """"""  train a model with  confi_name  and nsample\n', '    :param config:\n', '    :param nsample:\n', '    :return:\n', '    """"""\n']","['get_config_path', 'get_global_pars', 'log', 'run_train.run_train']",4
./dsa2/core_run.py:check,check,function,5,6,6,68,11.33,0,0,"[""config='outlier_predict.py""]",[''],"[""'outlier_predict.py::titanic_lightgbm'""]",150,[],"['get_global_pars', 'log']",2
./dsa2/core_run.py:predict,predict,function,13,33,32,362,10.97,0,0,"['config', 'nsample']","[None, None]","[""''"", 'None']",161,"['    """"""\n', '    :param config:\n', '    :param nsample:\n', '    :return:\n', '    """"""\n']","['get_config_path', 'get_global_pars', 'log', 'run_inference.run_predict']",4
./dsa2/core_run.py:train_sampler,train_sampler,function,13,27,26,274,10.15,0,0,"['config', 'nsample']","[None, None]","[""''"", 'None']",186,"['    """"""  train a model with  confi_name  and nsample\n', '    :param config:\n', '    :param nsample:\n', '    :return:\n', '    """"""\n']","['get_config_path', 'get_global_pars', 'log', 'run_sampler.run_train']",4
./dsa2/core_run.py:transform,transform,function,13,33,32,360,10.91,0,0,"['config', 'nsample']","[None, None]","[""''"", 'None']",208,"['    """"""\n', '    :param config:\n', '    :param nsample:\n', '    :return:\n', '    """"""\n']","['get_config_path', 'get_global_pars', 'log', 'run_sampler.run_transform']",4
./dsa2/core_run.py:hyperparam_wrapper,hyperparam_wrapper,function,28,74,62,973,13.15,0,2,"['config_full', 'ntrials', 'n_sample', 'debug', 'path_output         ', 'path_optuna_storage ', 'metric_name', 'mdict_range']","[None, None, None, None, None, None, None, None]","['""""', '2', '5000', '1', ' ""data/output/titanic1/""', "" 'data/output/optuna_hyper/optunadb.db'"", ""'accuracy_score'"", 'None']",234,[],"['config_full.split', 'load_function_uri', 'mdict', 'objective_fun', 'log', 'run_train', 'print', 'run_hyper_optuna', 'os.makedirs', 'json.dump', 'open']",11
./dsa2/core_run.py:deploy,deploy,function,3,6,6,88,14.67,0,0,[],[],[],285,"['    """"""\n', '    Simple deploy using uvicorn on runtime. U can use gunicorn instead.\n', '\n', '    #### Important info: First request will always take time\n', '\n', '    return: Service\n', '    """"""\n']",['uvicorn.run'],1
./dsa2/core_test.py:os_bash,os_bash,function,5,16,14,126,7.88,0,0,['cmd'],[None],[None],26,[],['subprocess.run'],1
./dsa2/core_test.py:log_separator,log_separator,function,1,6,6,34,5.67,0,0,['space'],[None],['140'],37,[],['print'],1
./dsa2/core_test.py:log_info_repo,log_info_repo,function,21,128,70,1272,9.94,0,0,['arg'],[None],['None'],41,"['   """"""\n', '      Grab Github Variables\n', '      https://help.github.com/en/actions/configuring-and-managing-workflows/using-environment-variables\n', '      log_info_repo(arg=None)\n', '   """"""\n']","['os_bash', 'repo.replace', 'workflow.replace', 'sha.replace', 'branch.replace', 'locals', 'dlocal.get', 'log_separator', 'print']",9
./dsa2/core_test.py:to_logfile,to_logfile,function,6,21,14,113,5.38,0,1,"['prefix', ""dateformat='+%Y-%m-%d_%H""]","[None, '']","['""""', ""'+%Y-%m-%d_%H:%M:%S,%3N'""]",91,[],[],0
./dsa2/core_test.py:os_file_current_path,os_file_current_path,function,7,9,7,117,13.0,0,0,[],[],[],99,[],['str'],1
./dsa2/core_test.py:os_system,os_system,function,4,8,7,61,7.62,0,1,"['cmd', 'dolog', 'prefix', ""dateformat='+%Y-%m-%d_%H""]","[None, None, None, '']","[None, '1', '""""', ""'+%Y-%m-%d_%H:%M:%S,%3N'""]",109,[],"['to_logfile', 'os.system']",2
./dsa2/core_test.py:json_load,json_load,function,2,10,8,58,5.8,0,0,['path'],[None],[None],116,[],['json.load'],1
./dsa2/core_test.py:log_remote_start,log_remote_start,function,4,18,16,132,7.33,0,0,['arg'],[None],['None'],124,[],"['log', 'os.system']",2
./dsa2/core_test.py:test_functions,test_functions,function,14,86,48,444,5.16,1,1,['arg'],[None],['None'],156,[],"['path_norm', 'json.load', 'log', 'load_function_uri', 'p.get', 'len', 'myfun']",7
./dsa2/core_test.py:test_model_structure,test_model_structure,function,5,11,11,163,14.82,0,0,[],[],[],185,[],"['log', 'os.getcwd', 'os.system']",3
./dsa2/core_test.py:test_import,test_import,function,13,34,33,338,9.94,1,0,['arg'],[None],['None'],196,[],"['log_info_repo', 'log_separator', 'log', 'os_get_file', 'print', 'f.replace', 'import_module']",7
./dsa2/core_test.py:test_jupyter,test_jupyter,function,21,96,72,922,9.6,2,2,"['arg', 'config_mode']","[None, None]","['None', '""test_all""']",227,"['    """"""\n', '      Tests files in dsa2/example/\n', '    """"""\n']","['log_info_repo', 'os_package_root_path', 'root.replace', 'str', 'print', 'get_recursive_files2', 'log_separator', 'file.replace', 'git.get', 'os.system', 'os_file_replace']",11
./dsa2/core_test.py:os_file_replace,os_file_replace,function,7,23,17,170,7.39,0,0,"['filename', 's1', 's2']","[None, None, None]","[None, '""""', '""""']",276,[],"['open', 'file.read', 'filedata.replace', 'file.write', 'print']",5
./dsa2/core_test.py:test_benchmark,test_benchmark,function,10,50,29,447,8.94,1,0,['arg'],[None],['None'],295,[],"['log_info_repo', 'log', 'path.replace', 'log_separator', 'print', 'os.system']",6
./dsa2/core_test.py:test_cli,test_cli,function,26,73,62,571,7.82,1,3,['arg'],[None],['None'],318,[],"['log', 'log_info_repo', 'path_norm', 'print', 'is_valid_cmd', 'cmd.strip', 'len', 'cmd.startswith', 'open', 'f.readlines', 'ss.strip', 'to_logfile', 'log_separator', 'os.system']",14
./dsa2/core_test.py:test_pullrequest,test_pullrequest,function,26,85,67,711,8.36,3,2,['arg'],[None],['None'],356,"['    """"""\n', '      Scan files in /pullrequest/ and run test on it.\n', '    """"""\n']","['log_info_repo', 'str', 'log', 'get_recursive_files', 'test_import', 'sleep', 'os.system', 'to_logfile', 'log_separator', 'open', 'f.readlines', 'Exception']",12
./dsa2/core_test.py:test_dataloader,test_dataloader,function,11,34,28,332,9.76,1,0,['arg'],[None],['None'],406,[],"['log_info_repo', 'json_load', 'log', 'path.replace', 'log_separator', 'os.system']",6
./dsa2/core_test.py:test_json_all,test_json_all,function,20,62,55,620,10.0,2,0,['arg'],[None],[None],427,[],"['log_info_repo', 'os_package_root_path', 'root.replace', 'log', 'str', 'get_recursive_files2', 'print', 'json.load', 'cfg.items', 'log_separator', 'os.system']",11
./dsa2/core_test.py:test_all,test_all,function,23,56,46,550,9.82,2,1,['arg'],[None],['None'],454,[],"['log_info_repo', 'log', 'model_get_list', 'json.load', 'path_norm', 'path.replace', 't.replace', 'log_separator', 'os.system', 'log_remote_push', 'sleep']",11
./dsa2/core_test.py:test_json,test_json,function,20,62,55,620,10.0,2,0,['arg'],[None],[None],482,[],"['log_info_repo', 'os_package_root_path', 'root.replace', 'log', 'str', 'get_recursive_files2', 'print', 'json.load', 'cfg.items', 'log_separator', 'os.system']",11
./dsa2/core_test.py:test_list,test_list,function,7,17,15,131,7.71,1,0,['mlist'],[None],[None],499,[],"['log_separator', 'log', 'os.system']",3
./dsa2/core_test.py:test_custom,test_custom,function,2,7,7,130,18.57,0,0,[],[],[],512,[],['test_list'],1
./dsa2/core_test.py:test_fast_linux,test_fast_linux,function,2,5,5,59,11.8,0,0,[],[],[],524,[],['test_list'],1
./dsa2/core_test.py:log,log,function,22,135,75,1335,9.89,0,0,['space'],[None],['140'],534,"['    """"""\n', '     https://help.github.com/en/actions/configuring-and-managing-workflows/using-environment-variables\n', '    """"""\n']","['print', 'log_info_repo', 'os_bash', 'repo.replace', 'workflow.replace', 'sha.replace', 'branch.replace', 'locals', 'dlocal.get', 'log_separator']",10
./dsa2/core_test.py:test_all_files,test_all_files,function,15,52,37,321,6.17,2,1,[],[],[],540,[],"['log', 'os.getcwd', 'glob.glob', 'path.replace', 'log_separator', 'os.system']",6
./dsa2/core_test.py:test_all_example,test_all_example,function,21,96,71,604,6.29,2,2,[],[],[],564,[],"['log', 'os.getcwd', 'glob.glob', 'path.replace', 'log_separator', 'os.system', 'open', 'fp.readlines', 'Exception']",9
./dsa2/core_test.py:cli_load_arguments,cli_load_arguments,function,14,66,51,591,8.95,0,0,['config_file'],[None],['None'],617,[],"['path_norm', 'argparse.ArgumentParser', 'add', 'p.add_argument', 'p.parse_args']",5
./dsa2/core_test.py:main,main,function,7,18,18,161,8.94,0,1,[],[],[],669,[],"['cli_load_arguments', 'log', 'test_list', 'globals']",4
./dsa2/titanic_classifier.py:global_pars_update,global_pars_update,function,22,62,47,1124,18.13,0,0,"['model_dict', 'data_name', 'config_name']","[None, None, None]","[None, None, None]",26,[],['print'],1
./dsa2/titanic_classifier.py:config1,config1,function,8,216,120,1966,9.1,0,0,[],[],[],82,"['    """"""\n', '       ONE SINGLE DICT Contains all needed informations for\n', '       used for titanic classification task\n', '    """"""\n']","['post_process_fun', 'int', 'pre_process_fun', 'global_pars_update', 'config_name=os_get_function_name']",5
./dsa2/titanic_classifier.py:pd_col_myfun,pd_col_myfun,function,22,96,66,813,8.47,0,3,"['df', 'col', 'pars']","[None, None, None]","['None', 'None', '{}']",181,"['    """"""\n', '         Example of custom Processor\n', '    """"""\n']","['load', 'list', 'save', 'pars.get']",4
./dsa2/titanic_classifier.py:check,check,function,0,1,1,4,4.0,0,0,[],[],[],277,[],[],0
./dsa2/titanic_gefs.py:global_pars_update,global_pars_update,function,22,62,47,1124,18.13,0,0,"['model_dict', 'data_name', 'config_name']","[None, None, None]","[None, None, None]",26,[],['print'],1
./dsa2/titanic_gefs.py:config1,config1,function,8,184,104,1608,8.74,0,0,[],[],[],82,"['    """"""\n', '       ONE SINGLE DICT Contains all needed informations for\n', '       used for titanic classification task\n', '    """"""\n']","['post_process_fun', 'int', 'pre_process_fun', 'global_pars_update', 'config_name=os_get_function_name']",5
./dsa2/tsampler.py:global_pars_update,global_pars_update,function,23,64,49,1156,18.06,0,0,"['model_dict', 'data_name', 'config_name']","[None, None, None]","[None, None, None]",22,[],['print'],1
./dsa2/tsampler.py:config_sampler,config_sampler,function,8,182,97,1568,8.62,0,0,[],[],[],79,"['    """"""\n', '       ONE SINGLE DICT Contains all needed informations for\n', '       used for titanic classification task\n', '    """"""\n']","['post_process_fun', 'int', 'pre_process_fun', 'global_pars_update', 'config_name=os_get_function_name']",5
./dsa2/tsampler.py:test_batch,test_batch,function,19,55,47,478,8.69,1,0,[],[],[],172,[],"['config_sampler', 'get_config_path', 'get_global_pars', 'print', 'run_sampler.run_train']",5
./dsa2/tseries.py:global_pars_update,global_pars_update,function,21,56,41,1028,18.36,0,0,"['model_dict', 'data_name', 'config_name']","[None, None, None]","[None, None, None]",20,[],['print'],1
./dsa2/tseries.py:config1,config1,function,9,158,108,1328,8.41,0,0,[],[],[],79,"['    """"""\n', '       ONE SINGLE DICT Contains all needed informations for\n', '       used for tseries_demand classification task\n', '    """"""\n']","['post_process_fun', 'float', 'pre_process_fun', 'global_pars_update', 'config_name=os_get_function_name']",5
./dsa2/tseries.py:pd_dsa2_custom,pd_dsa2_custom,function,37,104,85,810,7.79,1,1,"['df', 'col', 'pars']","[' pd.DataFrame', ' list', ' dict']","[None, 'None', 'None']",162,"['    """"""\n', '    Example of custom Processor Combining\n', '    Usage :\n', '    ,{""uri"":  THIS_FILEPATH + ""::pd_dsa2_custom"",   ""pars"": {\'coldate\': \'date\'}, ""cols_family"": ""coldate"",   ""cols_out"": ""coldate_features1"",  ""type"": """" },\n', '\n', '    """"""\n']","['prepro_load', 'pd_ts_date', 'pd_ts_rolling', 'pd.concat', 'list', 'prepro_save']",6
./dsa2/ztemplate.py:fit,fit,function,3,6,6,34,5.67,0,0,"['data_pars', 'compute_pars', 'out_pars', '**kw']","[None, None, None, None]","['None', 'None', 'None', None]",41,[],[],0
./dsa2/ztemplate.py:predict,predict,function,5,7,7,47,6.71,0,0,"['Xpred', 'data_pars', 'compute_pars', 'out_pars', '**kw']","[None, None, None, None, None]","['None', 'None', '{}', '{}', None]",47,[],[],0
./dsa2/ztemplate.py:reset,reset,function,3,7,6,43,6.14,0,0,[],[],[],54,[],[],0
./dsa2/ztemplate.py:save,save,function,6,9,9,47,5.22,0,0,"['path', 'info']","[None, None]","['None', 'None']",59,[],[],0
./dsa2/ztemplate.py:load_model,load_model,function,7,10,10,54,5.4,0,0,['path'],[None],"['""""']",65,[],[],0
./dsa2/ztemplate.py:init,init,function,4,8,8,58,7.25,0,0,"['*kw', '**kwargs']","[None, None]","[None, None]",266,[],['Model'],1
./dsa2/ztemplate.py:fit,fit,function,3,6,6,34,5.67,0,0,"['data_pars', 'compute_pars', 'out_pars', '**kw']","[None, None, None, None]","['None', 'None', 'None', None]",41,[],[],0
./dsa2/ztemplate.py:predict,predict,function,5,7,7,47,6.71,0,0,"['Xpred', 'data_pars', 'compute_pars', 'out_pars', '**kw']","[None, None, None, None, None]","['None', 'None', '{}', '{}', None]",47,[],[],0
./dsa2/ztemplate.py:reset,reset,function,3,7,6,43,6.14,0,0,[],[],[],54,[],[],0
./dsa2/ztemplate.py:save,save,function,6,9,9,47,5.22,0,0,"['path', 'info']","[None, None]","['None', 'None']",59,[],[],0
./dsa2/ztemplate.py:load_model,load_model,function,7,10,10,54,5.4,0,0,['path'],[None],"['""""']",65,[],[],0
./dsa2/ztemplate.py:get_dataset_tuple,get_dataset_tuple,function,9,34,29,281,8.26,1,1,"['Xtrain', 'cols_type_received', 'cols_ref']","[None, None, None]","[None, None, None]",360,"['    """"""  Split into Tuples to feed  Xyuple = (df1, df2, df3)\n', '    :param Xtrain:\n', '    :param cols_type_received:\n', '    :param cols_ref:\n', '    :return:\n', '    """"""\n']","['len', 'Xtuple_train.append']",2
./dsa2/ztemplate.py:get_dataset,get_dataset,function,33,132,93,1285,9.73,2,5,"['Xtrain', 'cols_type_received', 'cols_ref']","[None, None, None]","[None, None, None]",380,[],"['len', 'Xtuple_train.append', 'get_dataset', 'data_pars.get', 'get_dataset_tuple', 'log2', 'Exception']",7
./dsa2/ztemplate.py:test,test,function,41,195,150,1973,10.12,2,0,['config'],[None],"[""''""]",429,"['    """"""\n', '        Group of columns for the input model\n', '           cols_input_group = [ ]\n', '          for cols in cols_input_group,\n', '\n', '    :param config:\n', '    :return:\n', '    """"""\n']","['pd.DataFrame', 'range', 'train_test_split', 'log', 'colg_input.items', 'test_helper', 'Model', 'fit', 'predict', 'save', 'load_model']",11
./dsa2/ztemplate.py:test_helper,test_helper,function,12,49,39,644,13.14,0,0,"['model_pars', 'data_pars', 'compute_pars']","[None, None, None]","[None, None, None]",502,[],"['Model', 'log', 'fit', 'predict', 'save', 'load_model']",6
./dsa2/ztemplate.py:Model,Model,class,3,7,7,120,17.14,0,0,[],[],[],36,[],[],0
./dsa2/ztemplate.py:MY_MODEL_CLASS,MY_MODEL_CLASS,class,3,4,4,42,10.5,0,0,[],[],[],73,[],[],0
./dsa2/ztemplate.py:Model,Model,class,3,7,7,120,17.14,0,0,[],[],[],36,[],[],0
./dsa2/ztemplate.py:Model:__init__,Model:__init__,method,2,2,2,52,26.0,0,0,"['self', 'model_pars', 'data_pars', 'compute_pars']","[None, None, None, None]","[None, 'None', 'None', 'None']",37,[],['MY_MODEL_CLASS'],1
./dsa2/ztemplate.py:MY_MODEL_CLASS:__init__,MY_MODEL_CLASS:__init__,method,2,2,2,22,11.0,0,0,['cpars'],[None],[None],74,"['        """"""\n', '        YOUR   custom MODEL definition\n', '\n', '        """"""\n']",[],0
./dsa2/ztemplate.py:Model:__init__,Model:__init__,method,2,2,2,52,26.0,0,0,"['self', 'model_pars', 'data_pars', 'compute_pars']","[None, None, None, None]","[None, 'None', 'None', 'None']",37,[],['MY_MODEL_CLASS'],1
./pytorch_tabular/setup.py:read_requirements,read_requirements,function,8,15,13,186,12.4,0,1,"['thelibFolder', 'filename']","[None, None]","[None, None]",8,[],"['open', 'f.read']",2
./taming-transformers/main.py:get_obj_from_str,get_obj_from_str,function,9,13,13,177,13.62,0,1,"['string', 'reload']","[None, None]","[None, 'False']",14,[],"['string.rsplit', 'importlib.import_module', 'importlib.reload', 'getattr']",4
./taming-transformers/main.py:get_parser,get_parser,function,9,149,103,1356,9.1,0,2,['**parser_kwargs'],[None],[None],22,[],"['str2bool', 'isinstance', 'v.lower', 'argparse.ArgumentTypeError', 'argparse.ArgumentParser', 'parser.add_argument', 'default=list']",7
./taming-transformers/main.py:nondefault_trainer_args,nondefault_trainer_args,function,7,17,16,165,9.71,0,0,['opt'],[None],[None],106,[],"['argparse.ArgumentParser', 'Trainer.add_argparse_args', 'parser.parse_args', 'sorted', 'vars', 'getattr']",6
./taming-transformers/main.py:instantiate_from_config,instantiate_from_config,function,3,14,14,145,10.36,0,1,['config'],[None],[None],113,[],"['KeyError', 'get_obj_from_str', 'dict']",3
./taming-transformers/main.py:WrappedDataset,WrappedDataset,class,7,14,11,130,9.29,0,0,[],[],[],119,[],[],0
./taming-transformers/main.py:DataModuleFromConfig,DataModuleFromConfig,class,35,96,69,1260,13.12,3,5,[],[],[],131,[],[],0
./taming-transformers/main.py:SetupCallback,SetupCallback,class,30,71,63,1020,14.37,0,2,[],[],[],175,[],[],0
./taming-transformers/main.py:ImageLogger,ImageLogger,class,68,245,162,2783,11.36,5,7,[],[],[],215,[],[],0
./taming-transformers/main.py:WrappedDataset:__init__,WrappedDataset:__init__,method,2,2,2,17,8.5,0,0,"['self', 'dataset']","[None, None]","[None, None]",121,[],[],0
./taming-transformers/main.py:WrappedDataset:__len__,WrappedDataset:__len__,method,1,2,2,20,10.0,0,0,['self'],[None],[None],124,[],['len'],1
./taming-transformers/main.py:WrappedDataset:__getitem__,WrappedDataset:__getitem__,method,2,2,2,20,10.0,0,0,"['self', 'idx']","[None, None]","[None, None]",127,[],[],0
./taming-transformers/main.py:DataModuleFromConfig:__init__,DataModuleFromConfig:__init__,method,19,43,31,458,10.65,0,4,"['self', 'batch_size', 'train', 'validation', 'test', 'wrap', 'num_workers']","[None, None, None, None, None, None, None]","[None, None, 'None', 'None', 'None', 'False', 'None']",132,[],"['super', 'dict']",2
./taming-transformers/main.py:DataModuleFromConfig:prepare_data,DataModuleFromConfig:prepare_data,method,3,5,5,77,15.4,1,0,['self'],[None],[None],149,[],['instantiate_from_config'],1
./taming-transformers/main.py:DataModuleFromConfig:setup,DataModuleFromConfig:setup,method,6,16,13,184,11.5,2,1,"['self', 'stage']","[None, None]","[None, 'None']",153,[],"['dict', 'instantiate_from_config', 'WrappedDataset']",3
./taming-transformers/main.py:DataModuleFromConfig:_train_dataloader,DataModuleFromConfig:_train_dataloader,method,2,5,5,110,22.0,0,0,['self'],[None],[None],161,[],['DataLoader'],1
./taming-transformers/main.py:DataModuleFromConfig:_val_dataloader,DataModuleFromConfig:_val_dataloader,method,2,4,4,103,25.75,0,0,['self'],[None],[None],165,[],['DataLoader'],1
./taming-transformers/main.py:DataModuleFromConfig:_test_dataloader,DataModuleFromConfig:_test_dataloader,method,2,4,4,96,24.0,0,0,['self'],[None],[None],170,[],['DataLoader'],1
./taming-transformers/main.py:SetupCallback:__init__,SetupCallback:__init__,method,15,15,15,167,11.13,0,0,"['self', 'resume', 'now', 'logdir', 'ckptdir', 'cfgdir', 'config', 'lightning_config']","[None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None]",176,[],['super'],1
./taming-transformers/main.py:SetupCallback:on_pretrain_routine_start,SetupCallback:on_pretrain_routine_start,method,14,43,37,722,16.79,0,2,"['self', 'trainer', 'pl_module']","[None, None, None]","[None, None, None]",186,[],"['os.makedirs', 'print', 'OmegaConf.save', 'os.rename']",4
./taming-transformers/main.py:ImageLogger:__init__,ImageLogger:__init__,method,16,28,26,323,11.54,1,1,"['self', 'batch_frequency', 'max_images', 'clamp', 'increase_log_steps']","[None, None, None, None, None]","[None, None, None, 'True', 'True']",216,[],"['super', 'range']",2
./taming-transformers/main.py:ImageLogger:_wandb,ImageLogger:_wandb,method,9,15,15,179,11.93,1,0,"['self', 'pl_module', 'images', 'batch_idx', 'split']","[None, None, None, None, None]","[None, None, None, None, None]",230,[],"['ValueError', 'dict', 'wandb.Image']",3
./taming-transformers/main.py:ImageLogger:_testtube,ImageLogger:_testtube,method,6,19,18,196,10.32,1,0,"['self', 'pl_module', 'images', 'batch_idx', 'split']","[None, None, None, None, None]","[None, None, None, None, None]",239,[],[],0
./taming-transformers/main.py:ImageLogger:log_local,ImageLogger:log_local,method,12,36,32,455,12.64,1,0,"['self', 'save_dir', 'split', 'images', 'global_step', 'current_epoch', 'batch_idx']","[None, None, None, None, None, None, None]","[None, None, None, None, None, None, None]",250,[],"['grid.transpose', 'grid.numpy', 'os.makedirs', 'Image.fromarray']",4
./taming-transformers/main.py:ImageLogger:log_img,ImageLogger:log_img,method,25,67,58,802,11.97,1,5,"['self', 'pl_module', 'batch', 'batch_idx', 'split']","[None, None, None, None, None]","[None, None, None, None, '""train""']",269,[],"['hasattr', 'callable', 'type', 'pl_module.eval', 'torch.no_grad', 'pl_module.log_images', 'min', 'isinstance', 'torch.clamp', 'self.log_local', 'logger_log_images', 'pl_module.train']",12
./taming-transformers/main.py:ImageLogger:check_frequency,ImageLogger:check_frequency,method,3,18,16,135,7.5,0,1,"['self', 'batch_idx']","[None, None]","[None, None]",300,[],[],0
./taming-transformers/main.py:ImageLogger:on_train_batch_end,ImageLogger:on_train_batch_end,method,1,4,4,53,13.25,0,0,"['self', 'trainer', 'pl_module', 'outputs', 'batch', 'batch_idx', 'dataloader_idx']","[None, None, None, None, None, None, None]","[None, None, None, None, None, None, None]",309,[],['self.log_img'],1
